""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Dammen.Dammen"	"GrA-14295"	"bone"	"nd"	"Dammen"	"Neolithic"	"Mesolithic"	58.4078	11.4299	"14C"	9370	60	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	8940
"Dammen.Dammen1"	"Ua-5438"	"bone"	"nd"	"Dammen"	"Neolithic"	"nd"	58.4078	11.4299	"14C"	8940	150	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	9370
"Dämmer.Dämmer"	"Hv-1793"	"food remains"	"nd"	"Dämmer"	"Neolithic"	"Bischheim"	52.5	12.997	"14C"	6420	100	"Breunig 1987, 177"	"neolithic"	"other"	-0.05	"#990033"	5440
"Dämmer.Dämmer1"	"Hv-349"	"wood"	"nd"	"Dämmer"	"Neolithic"	"Bischheim"	52.5	12.997	"14C"	5440	110	"Kiel DB 2259"	"neolithic"	"other"	0.05	"#3058e5"	6420
"Dancu 2.Dancu 2"	"Le-1054"	"nd"	"nd"	"Dancu 2"	"nd"	"Tripolje"	47.2271	27.8386	"14C"	5290	150	"Telegin 2003"	"other"	"unknown"	-0.05	"#990033"	5290
"Dancu 2.Dancu 21"	"Le-1054"	"nd"	"nd"	"Dancu 2"	"nd"	"Tripolje"	47.2271	27.8386	"14C"	5290	150	"Telegin 2003"	"other"	"unknown"	0.05	"#3058e5"	5290
"Danku.Danku"	"Le-1054"	"nd"	"nd"	"Danku"	"Early Bronze Age"	"Tripolje"	47.2271	27.8386	"14C"	5290	150	"Bojadziev 1998"	"bronzeage"	"unknown"	-0.05	"#990033"	5290
"Danku.Danku1"	"Le-1054"	"nd"	"nd"	"Danku"	"Early Bronze Age"	"Tripolje"	47.2271	27.8386	"14C"	5290	150	"Bojadziev 1998"	"bronzeage"	"unknown"	0.05	"#3058e5"	5290
"Darion.Darion"	"Lv-1788"	"charcoal"	"nd"	"Darion"	"Neolithic"	"Blicquy"	50.6647	5.1867	"14C"	7200	160	"Gilot, 1997; Jadin e.a., 1989"	"neolithic"	"charcoal"	-0.05	"#990033"	7200
"Darion.Darion1"	"Lv-1788"	"charcoal"	"nd"	"Darion"	"Neolithic"	"Blicquy"	50.6647	5.1867	"14C"	7200	160	"Gilot, 1997; Jadin e.a., 1989"	"neolithic"	"charcoal"	0.05	"#3058e5"	7200
"DÃ¶semarken.DÃ¶semarken"	"Ua-32824"	"bone"	"nd"	"DÃ¶semarken"	"Neolithic"	"Streitaxtkultur"	55.5682	12.9476	"14C"	4320	60	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	4320
"DÃ¶semarken.DÃ¶semarken1"	"Ua-32824"	"bone"	"nd"	"DÃ¶semarken"	"Neolithic"	"Streitaxtkultur"	55.5682	12.9476	"14C"	4320	60	"Kiel DB 2013"	"neolithic"	"bone"	0.05	"#3058e5"	4320
"DÃ¶tlingen.DÃ¶tlingen"	"H-1039/1547"	"charcoal"	"nd"	"DÃ¶tlingen"	"Neolithic"	"Glockenbecher"	52.9361	8.3806	"14C"	4880	110	"Kiel DB 2251"	"neolithic"	"charcoal"	-0.05	"#990033"	4880
"DÃ¶tlingen.DÃ¶tlingen1"	"H-1039/1547"	"charcoal"	"nd"	"DÃ¶tlingen"	"Neolithic"	"Glockenbecher"	52.9361	8.3806	"14C"	4880	110	"Kiel DB 2251"	"neolithic"	"charcoal"	0.05	"#3058e5"	4880
"Dauernheim, Alteburg.Dauernheim, Alteburg"	"Hd-17526"	"charcoal"	"Corylus avellana, Pomoideae, Quercus sp., fraxinus excelsior, Ulmus sp"	"Dauernheim, Alteburg"	"Neolithic"	"Michelsberg"	50.3667	8.96	"14C"	5980	190	"Raetzel-Fabian 2000a, 158"	"neolithic"	"charcoal"	-0.05	"#990033"	5630
"Dauernheim, Alteburg.Dauernheim, Alteburg1"	"KIA-514"	"bone"	"horse"	"Dauernheim, Alteburg"	"Neolithic"	"Michelsberg"	50.3667	3.4912	"14C"	5630	30	"Benecke and Wotzka 1998, 831"	"neolithic"	"bone"	0.05	"#3058e5"	5980
"Daupharde.Daupharde"	"Ly-?"	" nd"	"nd"	"Daupharde"	"nd"	"Tci, 4eme phase occupation"	46.75	5.5	"14C"	8480	170	""	"other"	"unknown"	-0.05	"#990033"	8480
"Daupharde.Daupharde1"	"Ly-?"	" nd"	"nd"	"Daupharde"	"nd"	"Tci, 4eme phase occupation"	46.75	5.5	"14C"	8480	170	""	"other"	"unknown"	0.05	"#3058e5"	8480
"Daylight Rock.Daylight Rock"	"OxA-2245"	"seed"	"nd"	"Daylight Rock"	"Epipalaeolithic"	"nd"	51.6372	-4.6752	"14C"	10150	150	"Oxford Date List 18"	"epipalaeolithic"	"other"	-0.05	"#990033"	9630
"Daylight Rock.Daylight Rock1"	"OxA-7686"	"bone"	"human"	"Daylight Rock"	"Epipalaeolithic"	"nd"	51.6407	-4.6797	"14C"	9630	70	"Meiklejohn 2011"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	10150
"Dęby 29.Dęby 29"	"Gd-2278"	"nd"	"nd"	"Dęby 29"	"Epipalaeolithic"	"Janislawice"	54.3754	16.333	"14C"	8080	90	"Gehlen 2010"	"epipalaeolithic"	"unknown"	-0.05	"#990033"	7610
"Dęby 29.Dęby 291"	"Gd-3764"	"nd"	"nd"	"Dęby 29"	"Epipalaeolithic"	"Janislawice"	54.3754	16.333	"14C"	7610	60	"Gehlen 2010"	"epipalaeolithic"	"unknown"	0.05	"#3058e5"	8080
"De Eese.De Eese"	"GrN-6127"	"charcoal"	"nd"	"De Eese"	"Neolithic"	"Glockenbecher"	52.8494	6.1261	"14C"	4590	130	"Lanting/Mook 1977, 90."	"neolithic"	"charcoal"	-0.05	"#990033"	4290
"De Eese.De Eese1"	"GrN-6687C"	"charcoal"	"nd"	"De Eese"	"Neolithic"	"Single Grave"	52.8494	6.1261	"14C"	4290	90	"Lanting/Mook 1977, 86."	"neolithic"	"charcoal"	0.05	"#3058e5"	4590
"Deer's Den.Deer's Den"	"OxA-8131"	"charcoal"	"Quercus"	"Deer's Den"	"Neolithic"	"nd"	57.2344	-2.3579	"14C"	5670	50	"NJ784160"	"neolithic"	"charcoal"	-0.05	"#990033"	4970
"Deer's Den.Deer's Den1"	"OxA-8176"	"organic"	"nd"	"Deer's Den"	"Neolithic"	"nd"	57.2344	-2.3579	"14C"	4970	80	"NJ784160"	"neolithic"	"other"	0.05	"#3058e5"	5670
"Deesdorf, Pfingstberg.Deesdorf, Pfingstberg"	"KN-4895"	"bone"	"human"	"Deesdorf, Pfingstberg"	"Neolithic"	"Kugelamphoren"	51.9167	11.1833	"14C"	4660	110	"Müller 1999, 81"	"neolithic"	"bone"	-0.05	"#990033"	4660
"Deesdorf, Pfingstberg.Deesdorf, Pfingstberg1"	"KN-4895"	"bone"	"human"	"Deesdorf, Pfingstberg"	"Neolithic"	"Kugelamphoren"	51.9167	11.1833	"14C"	4660	110	"Müller 1999, 81"	"neolithic"	"bone"	0.05	"#3058e5"	4660
"Deggendorf (Sommersdorf).Deggendorf (Sommersdorf)"	"KN-2398"	"bone"	"nd"	"Deggendorf (Sommersdorf)"	"Neolithic"	"Glockenbecher"	48.8167	12.8833	"14C"	4030	80	"Breunig 1987, 188"	"neolithic"	"bone"	-0.05	"#990033"	4030
"Deggendorf (Sommersdorf).Deggendorf (Sommersdorf)1"	"KN-2398"	"bone"	"nd"	"Deggendorf (Sommersdorf)"	"Neolithic"	"Glockenbecher"	48.8167	12.8833	"14C"	4030	80	"Breunig 1987, 188"	"neolithic"	"bone"	0.05	"#3058e5"	4030
"De Hel.De Hel"	"GrN-22661"	"charcoal"	"nd"	"De Hel"	"Neolithic"	"Neolithic"	50.5875	3.6861	"14C"	6410	80	"Lijst GrN"	"neolithic"	"charcoal"	-0.05	"#990033"	5640
"De Hel.De Hel1"	"GrN-22663"	"charcoal"	"nd"	"De Hel"	"Neolithic"	"Neolithic"	50.7183	3.3552	"14C"	5640	70	"Lijst GrN"	"neolithic"	"charcoal"	0.05	"#3058e5"	6410
"Deimern 42 (quadrate III-E).Deimern 42 (quadrate III-E)"	"GrN-10269"	"charcoal"	"nd"	"Deimern 42 (quadrate III-E)"	"nd"	"Hamburgian"	53.0333	9.9	"14C"	7500	40	"Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125 Hamburgian"	"other"	"charcoal"	-0.05	"#990033"	7500
"Deimern 42 (quadrate III-E).Deimern 42 (quadrate III-E)1"	"GrN-10269"	"charcoal"	"nd"	"Deimern 42 (quadrate III-E)"	"nd"	"Hamburgian"	53.0333	9.9	"14C"	7500	40	"Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125 Hamburgian"	"other"	"charcoal"	0.05	"#3058e5"	7500
"Deiringsen-Ruploh.Deiringsen-Ruploh"	"KN-1059"	"charcoal"	"nd"	"Deiringsen-Ruploh"	"Neolithic"	"Rössen"	51.545	8.0937	"14C"	6710	90	"Kiel DB 2270"	"neolithic"	"charcoal"	-0.05	"#990033"	6630
"Deiringsen-Ruploh.Deiringsen-Ruploh1"	"Ki-583"	"nd"	"nd"	"Deiringsen-Ruploh"	"Neolithic"	"Rössen"	51.545	8.0937	"14C"	6630	140	"Breunig 1987, 174"	"neolithic"	"unknown"	0.05	"#3058e5"	6710
"De Kip.De Kip"	"Lv-1092"	"charcoal"	"nd"	"De Kip"	"Epipalaeolithic"	"Early Mesolithic"	50.6514	3.3364	"14C"	10370	110	"Gilot, 1997; Lauwers, 1981; Lauwers & Vermeersch, 1982a"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	10370
"De Kip.De Kip1"	"Lv-1092"	"charcoal"	"nd"	"De Kip"	"Epipalaeolithic"	"Early Mesolithic"	50.6514	3.3364	"14C"	10370	110	"Gilot, 1997; Lauwers, 1981; Lauwers & Vermeersch, 1982a"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	10370
"De Leijen.De Leijen"	"GrN-1683"	"charcoal"	"nd"	"De Leijen"	"Epipalaeolithic"	"nd"	53.15	6.05	"14C"	8060	70	"Lanting/vanderPlicht 1997/1998"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7800
"De Leijen.De Leijen1"	"GrN-685"	"charcoal"	"hazelnut"	"De Leijen"	"Epipalaeolithic"	"nd"	53.15	6.05	"14C"	7800	120	"Lanting/vanderPlicht 1997/1998"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8060
"Delley-Portalban.Delley-Portalban"	"Lv-624"	"wood"	"nd"	"Delley-Portalban"	"Early Neolithic"	"Early Neolithic"	46.9125	6.962	"14C"	7710	100	"Kiel DB 3617"	"other"	"other"	-0.05	"#990033"	4390
"Delley-Portalban.Delley-Portalban1"	"B-4116"	"wood"	"nd"	"Delley-Portalban"	"Neolithic"	"Saale-Rhone"	46.9125	6.962	"14C"	4390	100	"Kiel DB 3611"	"neolithic"	"other"	0.05	"#3058e5"	7710
"Delley-Portalban II.Delley-Portalban II"	"B-4118"	"charcoal"	"nd"	"Delley-Portalban II"	"nd"	"nd"	46.9125	6.962	"14C"	5530	50	"Ramseyer 1987, 50, Abb. 66"	"other"	"charcoal"	-0.05	"#990033"	5530
"Delley-Portalban II.Delley-Portalban II1"	"B-4118"	"charcoal"	"nd"	"Delley-Portalban II"	"nd"	"nd"	46.9125	6.962	"14C"	5530	50	"Ramseyer 1987, 50, Abb. 66"	"other"	"charcoal"	0.05	"#3058e5"	5530
"Demircihüyük.Demircihüyük"	"KN-2668"	"bone"	"nd"	"Demircihüyük"	"Chalcolithic"	"nd"	39.86	30.35	"14C"	7250	60	"--"	"chalcolithic"	"bone"	-0.05	"#990033"	3430
"Demircihüyük.Demircihüyük1"	"Bln-2029(II)"	"charcoal"	"nd"	"Demircihüyük"	"Bronze Age"	"Early Bronze Age"	39.86	30.35	"14C"	3430	40	"Quitta 1987, 12"	"bronzeage"	"charcoal"	0.05	"#3058e5"	7250
"Demircihüyük-Sariket.Demircihüyük-Sariket"	"OxA-4151"	"bone"	"nd"	"Demircihüyük-Sariket"	"Bronze Age"	"nd"	40.1666	29.9833	"14C"	3760	100	"Oxford Datelist"	"bronzeage"	"bone"	-0.05	"#990033"	2270
"Demircihüyük-Sariket.Demircihüyük-Sariket1"	"OxA-4152"	"bone"	"nd"	"Demircihüyük-Sariket"	"Iron Age"	"nd"	40.1666	29.9833	"14C"	2270	90	"Oxford Datelist"	"ironage"	"bone"	0.05	"#3058e5"	3760
"Demirköy.Demirköy"	"OxA-1288"	"seed"	"lathyrus"	"Demirköy"	"nd"	"nd"	37.8833	41.0833	"14C"	11380	110	"Higham et al. 2007 (online version)"	"other"	"other"	-0.05	"#990033"	11300
"Demirköy.Demirköy1"	"OxA-12489"	"seed"	"lathyrus"	"Demirköy"	"nd"	"nd"	37.8833	41.0833	"14C"	11300	50	"Higham et al. 2007 (online version)"	"other"	"other"	0.05	"#3058e5"	11380
"Dendrum Nature Reserve.Dendrum Nature Reserve"	"UB-412"	"charcoal"	"nd"	"Dendrum Nature Reserve"	"nd"	"nd"	54.2399	-5.8446	"14C"	5490	150	"J405345"	"other"	"charcoal"	-0.05	"#990033"	5230
"Dendrum Nature Reserve.Dendrum Nature Reserve1"	"UB-413"	"charcoal"	"nd"	"Dendrum Nature Reserve"	"nd"	"nd"	54.2399	-5.8446	"14C"	5230	200	"J405345"	"other"	"charcoal"	0.05	"#3058e5"	5490
"Denekamp.Denekamp"	"GrN-40921"	" nd"	"nd"	"Denekamp"	"Neolithic"	"Trichterbecher"	52.383	7	"14C"	5690	140	""	"neolithic"	"unknown"	-0.05	"#990033"	5690
"Denekamp.Denekamp1"	"GrN-40921"	" nd"	"nd"	"Denekamp"	"Neolithic"	"Trichterbecher"	52.383	7	"14C"	5690	140	""	"neolithic"	"unknown"	0.05	"#3058e5"	5690
"Denekamp, Klokkenberg.Denekamp, Klokkenberg"	"GrN-4092"	"charcoal"	"nd"	"Denekamp, Klokkenberg"	"nd"	"nd"	52.375	2.125	"14C"	5690	140	"Lanting/Mook 1977, 76."	"other"	"charcoal"	-0.05	"#990033"	5690
"Denekamp, Klokkenberg.Denekamp, Klokkenberg1"	"GrN-4092"	"charcoal"	"nd"	"Denekamp, Klokkenberg"	"nd"	"nd"	52.375	2.125	"14C"	5690	140	"Lanting/Mook 1977, 76."	"other"	"charcoal"	0.05	"#3058e5"	5690
"Dereivka .Dereivka "	"OxA-6161"	"bone"	"human "	"Dereivka "	"Epipalaeolithic"	"Capsien superieur"	48.7668	34.3138	"14C"	8100	110	"Gehlen 2010"	"epipalaeolithic"	"bone"	-0.05	"#990033"	5540
"Dereivka .Dereivka 1"	"Ki-3155"	"bone"	"human "	"Dereivka "	"Neolithic"	"PN"	48.7668	34.3138	"14C"	5540	50	"Telegin 2002"	"neolithic"	"bone"	0.05	"#3058e5"	8100
"Derenburg, Steinkuhlenberg.Derenburg, Steinkuhlenberg"	"KN-4903"	"bone"	"nd"	"Derenburg, Steinkuhlenberg"	"Neolithic"	"Bernburg"	51.8667	4.1527	"14C"	4880	50	"Müller 1999, 81"	"neolithic"	"bone"	-0.05	"#990033"	4650
"Derenburg, Steinkuhlenberg.Derenburg, Steinkuhlenberg1"	"KN-4904"	"bone"	"nd"	"Derenburg, Steinkuhlenberg"	"Neolithic"	"Bernburg"	51.8667	4.1527	"14C"	4650	110	"Müller 1999, 81"	"neolithic"	"bone"	0.05	"#3058e5"	4880
"Dertienhuizen A.Dertienhuizen A"	"GrN-2878"	"wood"	"nd"	"Dertienhuizen A"	"nd"	"nd"	52.9405	7.015	"14C"	4520	100	"Lanting/Mook 1977, 94."	"other"	"other"	-0.05	"#990033"	4520
"Dertienhuizen A.Dertienhuizen A1"	"GrN-2878"	"wood"	"nd"	"Dertienhuizen A"	"nd"	"nd"	52.9405	7.015	"14C"	4520	100	"Lanting/Mook 1977, 94."	"other"	"other"	0.05	"#3058e5"	4520
"Dertienhuizen B.Dertienhuizen B"	"GrN-2879"	"wood"	"nd"	"Dertienhuizen B"	"nd"	"nd"	52.9405	7.015	"14C"	4610	140	"Lanting/Mook 1977, 94."	"other"	"other"	-0.05	"#990033"	4610
"Dertienhuizen B.Dertienhuizen B1"	"GrN-2879"	"wood"	"nd"	"Dertienhuizen B"	"nd"	"nd"	52.9405	7.015	"14C"	4610	140	"Lanting/Mook 1977, 94."	"other"	"other"	0.05	"#3058e5"	4610
"Deszk-Olajkút.Deszk-Olajkút"	"OxA-9396"	"nd"	"nd"	"Deszk-Olajkút"	"Neolithic"	"Körös"	46.144	20.241	"14C"	7860	60	"Oross 2012"	"neolithic"	"unknown"	-0.05	"#990033"	7150
"Deszk-Olajkút.Deszk-Olajkút1"	"Bln-582"	"charcoal"	"Quercus"	"Deszk-Olajkút"	"Neolithic"	"Vinča "	46.2167	20.25	"14C"	7150	130	"Quitta 1969"	"neolithic"	"charcoal"	0.05	"#3058e5"	7860
"Dévaványa-Katalszeg.Dévaványa-Katalszeg"	"Bln-86  "	"organic temper"	"nd"	"Dévaványa-Katalszeg"	"Neolithic"	"Körös"	47.0558	20.9159	"14C"	7290	100	"Berlin Date List I"	"neolithic"	"other"	-0.05	"#990033"	7290
"Dévaványa-Katalszeg.Dévaványa-Katalszeg1"	"Bln-86  "	"organic temper"	"nd"	"Dévaványa-Katalszeg"	"Neolithic"	"Körös"	47.0558	20.9159	"14C"	7290	100	"Berlin Date List I"	"neolithic"	"other"	0.05	"#3058e5"	7290
"Dévaványa-Réhelyi gát.Dévaványa-Réhelyi gát"	"Bln-1379"	"charcoal"	"nd"	"Dévaványa-Réhelyi gát"	"Neolithic"	"Körös"	47.0805	20.9966	"14C"	7520	50	"Oross 2012"	"neolithic"	"charcoal"	-0.05	"#990033"	7520
"Dévaványa-Réhelyi gát.Dévaványa-Réhelyi gát1"	"Bln-1379"	"charcoal"	"nd"	"Dévaványa-Réhelyi gát"	"Neolithic"	"Körös"	47.0805	20.9966	"14C"	7520	50	"Oross 2012"	"neolithic"	"charcoal"	0.05	"#3058e5"	7520
"Deventer-Rielerenk.Deventer-Rielerenk"	"GrN-28786"	"charcoal"	"nd"	"Deventer-Rielerenk"	"Epipalaeolithic"	"nd"	52.2597	6.1919	"14C"	7620	30	"Niekus 2005/2006"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7620
"Deventer-Rielerenk.Deventer-Rielerenk1"	"GrN-28786"	"charcoal"	"nd"	"Deventer-Rielerenk"	"Epipalaeolithic"	"nd"	52.2597	6.1919	"14C"	7620	30	"Niekus 2005/2006"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	7620
"De Waag.De Waag"	"Lv-482"	"wood"	"nd"	"De Waag"	"Epipalaeolithic"	"Tjongerian"	51.25	5.4667	"14C"	9700	170	"Gilot, 1997; Vermeersch, 1979"	"epipalaeolithic"	"other"	-0.05	"#990033"	8530
"De Waag.De Waag1"	"Lv-879"	"charcoal"	"pinus"	"De Waag"	"Epipalaeolithic"	"Tjongerian"	51.25	5.4667	"14C"	8530	100	"Gilot, 1997; Vermeersch, 1979"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	9700
"Dhaffah 2.Dhaffah 2"	"Bln-3643/II"	"shell"	"Terebralia palustris"	"Dhaffah 2"	"nd"	"ABT?"	22.29	59.82	"14C"	6170	90	"Biagi 1994"	"other"	"other"	-0.05	"#990033"	6080
"Dhaffah 2.Dhaffah 21"	"Bln-3643/I"	"shell"	"Terebralia palustris"	"Dhaffah 2"	"nd"	"ABT?"	22.29	59.82	"14C"	6080	120	"Biagi 1994"	"other"	"other"	0.05	"#3058e5"	6170
"Dhali-Agridhi.Dhali-Agridhi"	"P-2775"	"nd"	"nd"	"Dhali-Agridhi"	"Neolithic"	"PPNB"	35.01	33.41	"14C"	8840	130	"Meulengracht et al. 1981, 228-229"	"neolithic"	"unknown"	-0.05	"#990033"	8190
"Dhali-Agridhi.Dhali-Agridhi1"	"P/GX-2848A"	"nd"	"nd"	"Dhali-Agridhi"	"Neolithic"	"PPNB"	35.01	33.41	"14C"	8190	480	"Lehavy 1974, 98"	"neolithic"	"unknown"	0.05	"#3058e5"	8840
"Dhra.Dhra"	"AA-38142"	"charcoal"	"nd"	"Dhra"	"Neolithic"	"PPNA"	31.27	35.58	"14C"	11590	170	"Kuijt and Finlayson 2001"	"neolithic"	"charcoal"	-0.05	"#990033"	7820
"Dhra.Dhra1"	"ISGS-4002"	"charcoal"	"nd"	"Dhra"	"PN"	"Jericho IX"	31.26	35.58	"14C"	7820	80	"--"	"other"	"charcoal"	0.05	"#3058e5"	11590
"Dhuweila.Dhuweila"	"nd"	"nd"	"nd"	"Dhuweila"	"Neolithic"	"PPN"	32.03	37.25	"14C"	10030	110	"Betts 1989a, 149"	"neolithic"	"unknown"	-0.05	"#990033"	5080
"Dhuweila.Dhuweila1"	"UtC-2029"	"organic"	"fibre"	"Dhuweila"	"Chalcolithic"	"Chalc."	32.03	37.25	"14C"	5080	150	"Bar-Yosef 1981b"	"chalcolithic"	"other"	0.05	"#3058e5"	10030
"Dibab 1.Dibab 1"	"Bln-5270/II"	"shell"	"Anadara uropigimelana"	"Dibab 1"	"nd"	"ABT?"	23.08	59.05	"14C"	6200	80	"Biagi 1994"	"other"	"other"	-0.05	"#990033"	6060
"Dibab 1.Dibab 11"	"Bln-5270/I"	"shell"	"Anadara uropigimelana"	"Dibab 1"	"nd"	"ABT?"	23.08	59.05	"14C"	6060	90	"Biagi 1994"	"other"	"other"	0.05	"#3058e5"	6200
"Dietfurt.Dietfurt"	"Erl-2147"	"bone"	"Metatarsus/Hirsch, __."	"Dietfurt"	"Neolithic"	"Cham"	49.0375	11.587	"14C"	5090	140	"Gohlisch 2000, 185"	"neolithic"	"bone"	-0.05	"#990033"	1800
"Dietfurt.Dietfurt1"	"Hv-17227"	"charcoal"	"nd"	"Dietfurt"	"Neolithic"	"Cham"	49.0375	11.587	"14C"	1800	70	"Gohlisch 2000, 185"	"neolithic"	"charcoal"	0.05	"#3058e5"	5090
"Dikili Tash.Dikili Tash"	"SacA-22592"	"charcoal"	"nd"	"Dikili Tash"	"Neolithic"	"nd"	41.05	24.15	"14C"	8380	30	"Lespez 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	5530
"Dikili Tash.Dikili Tash1"	"Ly-10089"	"bone"	"nd"	"Dikili Tash"	"Neolithic"	"nd"	41.05	24.15	"14C"	5530	50	"--"	"neolithic"	"bone"	0.05	"#3058e5"	8380
"Dikili Tash I.Dikili Tash I"	"Gif-2628"	"nd"	"nd"	"Dikili Tash I"	"Neolithic"	"Middle Neolithic"	41.05	24.15	"14C"	7850	150	"Treuil 1992, 33"	"neolithic"	"unknown"	-0.05	"#990033"	2980
"Dikili Tash I.Dikili Tash I1"	"Gif-1739"	"charcoal"	"nd"	"Dikili Tash I"	"Neolithic"	"Middle Neolithic"	41.05	24.15	"14C"	2980	140	"Treuil 1992, 33"	"neolithic"	"charcoal"	0.05	"#3058e5"	7850
"Dikili Tash II.Dikili Tash II"	"Ly-1062"	"nd"	"nd"	"Dikili Tash II"	"Neolithic"	"Neo. / SN or Chalc.?"	41.05	24.15	"14C"	6970	230	"Treuil 1992, 33"	"neolithic"	"unknown"	-0.05	"#990033"	6410
"Dikili Tash II.Dikili Tash II1"	"Gif-1738"	"charcoal"	"nd"	"Dikili Tash II"	"Neolithic"	"Late Neolithic"	41.05	24.15	"14C"	6410	160	"Treuil 1992, 33"	"neolithic"	"charcoal"	0.05	"#3058e5"	6970
"Dikili Tash IIIA.Dikili Tash IIIA"	"Ly-1061"	"nd"	"nd"	"Dikili Tash IIIA"	"Bronze Age"	"EH I"	41.05	24.15	"14C"	7320	270	"Treuil 1992, 33"	"bronzeage"	"unknown"	-0.05	"#990033"	4070
"Dikili Tash IIIA.Dikili Tash IIIA1"	"Ly-1602"	"nd"	"nd"	"Dikili Tash IIIA"	"Bronze Age"	"EH I"	41.05	24.15	"14C"	4070	310	"Treuil 1992, 33"	"bronzeage"	"unknown"	0.05	"#3058e5"	7320
"Dikili Tash IIIB.Dikili Tash IIIB"	"Ly-1305"	"nd"	"nd"	"Dikili Tash IIIB"	"Bronze Age"	"EH I"	41.05	24.15	"14C"	5790	170	"Treuil 1992, 33"	"bronzeage"	"unknown"	-0.05	"#990033"	2410
"Dikili Tash IIIB.Dikili Tash IIIB1"	"Ly-1304"	"nd"	"nd"	"Dikili Tash IIIB"	"Bronze Age"	"EH I"	41.05	24.15	"14C"	2410	280	"Treuil 1992, 33"	"bronzeage"	"unknown"	0.05	"#3058e5"	5790
"Dikili Tash IV.Dikili Tash IV"	"Ly-1063"	"nd"	"nd"	"Dikili Tash IV"	"Bronze Age"	"LH"	41.05	24.15	"14C"	3700	150	"Treuil 1992, 33"	"bronzeage"	"unknown"	-0.05	"#990033"	3010
"Dikili Tash IV.Dikili Tash IV1"	"Ly-1306"	"nd"	"nd"	"Dikili Tash IV"	"Bronze Age"	"LH"	41.05	24.15	"14C"	3010	460	"Treuil 1992, 33"	"bronzeage"	"unknown"	0.05	"#3058e5"	3700
"Dillonsdown.Dillonsdown"	"OxA-2672"	"bone"	"human"	"Dillonsdown"	"nd"	"nd"	53.1666	-6.4666	"14C"	3990	100	"Oxford Datelist"	"other"	"bone"	-0.05	"#990033"	3990
"Dillonsdown.Dillonsdown1"	"OxA-2672"	"bone"	"human"	"Dillonsdown"	"nd"	"nd"	53.1666	-6.4666	"14C"	3990	100	"Oxford Datelist"	"other"	"bone"	0.05	"#3058e5"	3990
"Dimini.Dimini"	"nd"	"nd"	"nd"	"Dimini"	"Neolithic"	"Neo.?"	39.34	22.85	"14C"	6450	160	"Renfrew 1971, 282"	"neolithic"	"unknown"	-0.05	"#990033"	6450
"Dimini.Dimini1"	"nd"	"nd"	"nd"	"Dimini"	"Neolithic"	"Neo.?"	39.34	22.85	"14C"	6450	160	"Renfrew 1971, 282"	"neolithic"	"unknown"	0.05	"#3058e5"	6450
"Diseflat.Diseflat"	"Ki-2695"	"charcoal"	"nd"	"Diseflat"	"Neolithic"	"nd"	57.2629	12.312	"14C"	7130	140	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	2570
"Diseflat.Diseflat1"	"Ki-2694"	"charcoal"	"nd"	"Diseflat"	"Neolithic"	"nd"	57.2629	12.312	"14C"	2570	120	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	7130
"Diseflat?.Diseflat?"	"Ua-5405"	"charcoal"	"nd"	"Diseflat?"	"Neolithic"	"Trichterbecher-North Group"	57.2629	12.312	"14C"	5500	120	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	5500
"Diseflat?.Diseflat?1"	"Ua-5405"	"charcoal"	"nd"	"Diseflat?"	"Neolithic"	"Trichterbecher-North Group"	57.2629	12.312	"14C"	5500	120	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	5500
"Ditfurt 2.Ditfurt 2"	"Bln-4209"	"charcoal"	"nd"	"Ditfurt 2"	"Neolithic"	"Bernburg"	51.8333	4.1316	"14C"	5240	140	"Müller 1992, 224"	"neolithic"	"charcoal"	-0.05	"#990033"	5240
