""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Machrie Moor.Machrie Moor"	"GU-2320"	"charcoal"	"nd"	"Machrie Moor"	"Neolithic"	"nd"	55.5405	-5.3097	"14C"	6300	70	"Ashmore, 2004"	"neolithic"	"charcoal"	-0.05	"#990033"	5470
"Machrie Moor.Machrie Moor1"	"GU-2315"	"charcoal"	"nd"	"Machrie Moor"	"Neolithic"	"nd"	58.2711	-5.3097	"14C"	5470	110	"Ashmore, 2004"	"neolithic"	"charcoal"	0.05	"#3058e5"	6300
"Madawg.Madawg"	"OxA-6113"	"charcoal"	"hazelnut"	"Madawg"	"Epipalaeolithic"	"Late Mesolithic"	51.834	-2.6575	"14C"	10040	120	"CBA Radiocarbon Index"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	7530
"Madawg.Madawg1"	"OxA-6082"	"seed"	"hazelnut"	"Madawg"	"Epipalaeolithic"	"Late Mesolithic"	51.834	-2.6575	"14C"	7530	50	"Oxford Date List 25"	"epipalaeolithic"	"other"	0.05	"#3058e5"	10040
"Maddalena di Muccia.Maddalena di Muccia"	"R-643a"	"charcoal"	"nd"	"Maddalena di Muccia"	"Neolithic"	"Early Neolithic "	43.0738	13.0633	"14C"	7490	60	"Müller 1991, 354"	"neolithic"	"charcoal"	-0.05	"#990033"	7490
"Maddalena di Muccia.Maddalena di Muccia1"	"R-643a"	"charcoal"	"nd"	"Maddalena di Muccia"	"Neolithic"	"Early Neolithic "	43.0738	13.0633	"14C"	7490	60	"Müller 1991, 354"	"neolithic"	"charcoal"	0.05	"#3058e5"	7490
"Madhhur.Madhhur"	"BM-1458"	"seed"	"carbonized grain"	"Madhhur"	"Chalcolithic"	"Obeid final"	34.2	44.95	"14C"	6360	50	"Burleigh et al. 1982a"	"chalcolithic"	"other"	-0.05	"#990033"	6360
"Madhhur.Madhhur1"	"BM-1458"	"seed"	"carbonized grain"	"Madhhur"	"Chalcolithic"	"Obeid final"	34.2	44.95	"14C"	6360	50	"Burleigh et al. 1982a"	"chalcolithic"	"other"	0.05	"#3058e5"	6360
"Mad Man's Window.Mad Man's Window"	"UB-205"	"charcoal"	"nd"	"Mad Man's Window"	"Neolithic"	"nd"	54.9647	-5.9231	"14C"	5840	140	"D330150"	"neolithic"	"charcoal"	-0.05	"#990033"	5840
"Mad Man's Window.Mad Man's Window1"	"UB-205"	"charcoal"	"nd"	"Mad Man's Window"	"Neolithic"	"nd"	54.9647	-5.9231	"14C"	5840	140	"D330150"	"neolithic"	"charcoal"	0.05	"#3058e5"	5840
"Madorras.Madorras"	"OxA-5199"	"charcoal"	"nd"	"Madorras"	"nd"	"nd"	41.3	-7.6	"14C"	5190	110	"Oxford Datelist"	"other"	"charcoal"	-0.05	"#990033"	5190
"Madorras.Madorras1"	"OxA-5199"	"charcoal"	"nd"	"Madorras"	"nd"	"nd"	41.3	-7.6	"14C"	5190	110	"Oxford Datelist"	"other"	"charcoal"	0.05	"#3058e5"	5190
"Maes Howe.Maes Howe"	"SRR-791"	"soil"	"nd"	"Maes Howe"	"nd"	"nd"	58.9973	-3.1871	"14C"	5830	120	"Ashmore, 2004"	"other"	"other"	-0.05	"#990033"	5830
"Maes Howe.Maes Howe1"	"SRR-791"	"soil"	"nd"	"Maes Howe"	"nd"	"nd"	58.9973	-3.1871	"14C"	5830	120	"Ashmore, 2004"	"other"	"other"	0.05	"#3058e5"	5830
"Magareči Mlin.Magareči Mlin"	"GrN-15973"	"nd"	"nd"	"Magareči Mlin"	"Neolithic"	"Proto-Starčevo"	43.94	21.67	"14C"	7940	60	"Bogdanović  2008"	"neolithic"	"unknown"	-0.05	"#990033"	7940
"Magareči Mlin.Magareči Mlin1"	"GrN-15973"	"nd"	"nd"	"Magareči Mlin"	"Neolithic"	"Proto-Starčevo"	43.94	21.67	"14C"	7940	60	"Bogdanović  2008"	"neolithic"	"unknown"	0.05	"#3058e5"	7940
"Magdeburg-Salbke.Magdeburg-Salbke"	"Hd-19368"	"bone"	"nd"	"Magdeburg-Salbke"	"Neolithic"	"Walternienburg"	52.0763	11.6689	"14C"	5370	70	"Müller 1999, 85"	"neolithic"	"bone"	-0.05	"#990033"	5160
"Magdeburg-Salbke.Magdeburg-Salbke1"	"Hd-19181"	"bone"	"nd"	"Magdeburg-Salbke"	"Neolithic"	"Walternienburg"	52.0763	11.6689	"14C"	5160	90	"Müller 1999, 85"	"neolithic"	"bone"	0.05	"#3058e5"	5370
"Maglemose bog, Sarauw's islet, W Zealand.Maglemose bog, Sarauw's islet, W Zealand"	"K-1609"	"charcoal"	"corylus"	"Maglemose bog, Sarauw's islet, W Zealand"	"Epipalaeolithic"	"Maglemose "	55.5	11.217	"14C"	9730	160	"Copenhagen datelist 10, pp.88-9 (Radiocarbon, 15 (1973): 86-112): * K-1609[a-b] averaged to form \"8660 +/-120 BP (K-1609)\"."	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	9490
