""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Fontenu, Lac Chalain.Fontenu, Lac Chalain"	"Gif-2638"	"Fontenu, Lac Chalain"	46.6662	5.7935	4860	"Breunig 1987, 207"	-0.05	"#FF3300"	4690
"Fontenu, Lac Chalain.Fontenu, Lac Chalain1"	"GrN-672"	"Fontenu, Lac Chalain"	46.6662	5.7935	4690	"Breunig 1987, 200f."	0.05	"#3058e5"	4860
"Fontfaures.Fontfaures"	"Ly-4448"	"Fontfaures"	44.55	1.63	10300	"van Willigen 2006"	-0.05	"#FF3300"	10300
"Fontfaures.Fontfaures1"	"Ly-4448"	"Fontfaures"	44.55	1.63	10300	"van Willigen 2006"	0.05	"#3058e5"	10300
"Fontjuvénal.Fontjuvénal"	"Mc-499"	"Fontjuvénal"	43.27	2.39	6660	"van Willigen 2006"	-0.05	"#FF3300"	6130
"Fontjuvénal.Fontjuvénal1"	"Mc-497"	"Fontjuvénal"	43.27	2.39	6130	"manen 2003"	0.05	"#3058e5"	6660
"food processing activity"	"BM-2744"	"food processing activity"	51.3993	-1.2812	10300	"CBA Radiocarbon Index"	0.05	"#3058e5"	10300
"Forcas.Forcas"	"CAMS-5354"	"Forcas"	42.221	0.3346	9640	"van Willigen 2006"	-0.05	"#FF3300"	6980
"Forcas.Forcas1"	"nd"	"Forcas"	42.221	0.3346	6980	"Linstädter 2004"	0.05	"#3058e5"	9640
"Fordhouse Barrow.Fordhouse Barrow"	"OxA-8225"	"Fordhouse Barrow"	56.7354	-2.5463	9050	"Ashmore, 2004"	-0.05	"#FF3300"	5660
"Fordhouse Barrow.Fordhouse Barrow1"	"OxA-8223"	"Fordhouse Barrow"	56.7354	-2.5463	5660	"NO66586053"	0.05	"#3058e5"	9050
"Forggensee 2"	"KN-3626"	"Forggensee 2"	47.638	10.766	8830	"Gehlen 2010"	0.05	"#3058e5"	8830
"Forno da Telha.Forno da Telha"	"ICEN-416"	"Forno da Telha"	39.1248	-9.1496	7860	"carvalho 2008"	-0.05	"#FF3300"	7620
"Forno da Telha.Forno da Telha1"	"Wk-18358"	"Forno da Telha"	39.1248	-9.1496	7620	"carvalho 2008"	0.05	"#3058e5"	7860
"ForshÃ¤lla 140.ForshÃ¤lla 140"	"GrA-16550"	"ForshÃ¤lla 140"	58.2833	11.9167	9190	"Kiel DB 2013"	-0.05	"#FF3300"	1800
"ForshÃ¤lla 140.ForshÃ¤lla 1401"	"GrA-14144"	"ForshÃ¤lla 140"	58.2833	11.9167	1800	"Kiel DB 2013"	0.05	"#3058e5"	9190
"Forst Leina"	"Bln-166"	"Forst Leina"	50.9833	2.0424	4230	"Breunig 1987, 172"	0.05	"#3058e5"	4230
"Forst Leinau"	"KN-1319"	"Forst Leinau"	50.9667	12.5167	4320	"Breunig 1987, 172"	0.05	"#3058e5"	4320
"Fosca.Fosca"	"Beta-156021"	"Fosca"	42.221	0.3346	10600	"Olária i Puyoles 2000"	-0.05	"#FF3300"	8090
"Fosca.Fosca1"	"Beta-171910"	"Fosca"	42.221	0.3346	8090	"Olária i Puyoles 2000"	0.05	"#3058e5"	10600
"Fosie.Fosie"	"Lu-474"	"Fosie"	55.5667	12.999	4370	"Kiel DB 2013"	-0.05	"#FF3300"	4370
"Fosie.Fosie1"	"Lu-474"	"Fosie"	55.5667	12.999	4370	"Kiel DB 2013"	0.05	"#3058e5"	4370
"Fossacesia.Fossacesia"	"R-878"	"Fossacesia"	42.2055	14.4883	6190	"Rome Datelist XVI"	-0.05	"#FF3300"	6190
"Fossacesia.Fossacesia1"	"Fi-30"	"Fossacesia"	42.2055	14.4883	6190	"R, 1973, v 15, p 484"	0.05	"#3058e5"	6190
"Four Crosses"	"CAR-849"	"Four Crosses"	52.7615	-3.0819	8080	"CBA Radiocarbon Index"	0.05	"#3058e5"	8080
"Fovlum.Fovlum"	"K-1601"	"Fovlum"	56.4833	9.6	5200	"Copenhagen X"	-0.05	"#FF3300"	5140
"Fovlum.Fovlum1"	"K-1602a"	"Fovlum"	56.5	9.283	5140	""	0.05	"#3058e5"	5200
"Foxhole Cave.Foxhole Cave"	"OxA-8315"	"Foxhole Cave"	51.55	-4.25	5710	"Meiklejohn 2011"	-0.05	"#FF3300"	5310
"Foxhole Cave.Foxhole Cave1"	"OxA-8317"	"Foxhole Cave"	51.55	-4.25	5310	"Meiklejohn 2011"	0.05	"#3058e5"	5710
"Fox Hole Cave.Fox Hole Cave"	"OxA-9805"	"Fox Hole Cave"	53.1833	-1.85	5950	" "	-0.05	"#FF3300"	5950
"Fox Hole Cave.Fox Hole Cave1"	"OxA-9805"	"Fox Hole Cave"	53.1833	-1.85	5950	" "	0.05	"#3058e5"	5950
"Franchthi Cave.Franchthi Cave"	"I-6129"	"Franchthi Cave"	37.4333	23.1333	12820	"--"	-0.05	"#FF3300"	5900
"Franchthi Cave.Franchthi Cave1"	"P-1659"	"Franchthi Cave"	37.4333	23.1333	5900	"Kiel DB 3488"	0.05	"#3058e5"	12820
"Frankenau"	"VRI-207"	"Frankenau"	47.4498	16.6082	6470	""	0.05	"#3058e5"	6470
"Franzhausen.Franzhausen"	"Bln-3204"	"Franzhausen"	48.3544	15.7175	3830	"Stadler 1995"	-0.05	"#FF3300"	3710
"Franzhausen.Franzhausen1"	"Bln-3337"	"Franzhausen"	48.3544	15.7175	3710	"Stadler 1995"	0.05	"#3058e5"	3830
"Frauenhofen.Frauenhofen"	"KN-2455"	"Frauenhofen"	48.68	15.6	6980	"Breunig 1987, 150, 163"	-0.05	"#FF3300"	6700
"Frauenhofen.Frauenhofen1"	"KN-2567"	"Frauenhofen"	48.68	15.6	6700	"Breunig 1987, 150, 163"	0.05	"#3058e5"	6980
"Frauenmark"	"Bln-432"	"Frauenmark"	53.5333	11.7833	4510	"Berlin Date List IV"	0.05	"#3058e5"	4510
"Fridhem.Fridhem"	"St-6318"	"Fridhem"	56.183	14.858	5670	""	-0.05	"#FF3300"	5670
"Fridhem.Fridhem1"	"St-6318"	"Fridhem"	56.183	14.858	5670	""	0.05	"#3058e5"	5670
"Friebritz.Friebritz"	"VERA-409"	"Friebritz"	48.65	16.4166	6680	"Stadler 2005/2006"	-0.05	"#FF3300"	6550
"Friebritz.Friebritz1"	"VERA-3224"	"Friebritz"	48.65	16.4166	6550	"Stadler 2005/2006"	0.05	"#3058e5"	6680
"Friedberg"	"Bln-56"	"Friedberg"	50.3303	8.7621	7000	"Breunig 126"	0.05	"#3058e5"	7000
"Friesack.Friesack"	"Bln-3032"	"Friesack"	52.7333	12.5833	9140	""	-0.05	"#FF3300"	7860
"Friesack.Friesack1"	"Bln-3029"	"Friesack"	52.7333	12.5833	7860	""	0.05	"#3058e5"	9140
"Friesack 4.Friesack 4"	"Bln-3036"	"Friesack 4"	52.7398	12.5783	11020	"Gob 1990"	-0.05	"#FF3300"	7590
"Friesack 4.Friesack 41"	"Bln-3295"	"Friesack 4"	52.7398	12.5783	7590	"Kiel DB 2449"	0.05	"#3058e5"	11020
"Frimmersdorf.Frimmersdorf"	"UtC--7222"	"Frimmersdorf"	51.0468	6.5745	7090	"Claßen 1998, 80"	-0.05	"#FF3300"	7080
"Frimmersdorf.Frimmersdorf1"	"UtC--7180"	"Frimmersdorf"	51.0468	6.5745	7080	"Claßen 1998, 80"	0.05	"#3058e5"	7090
"Frotorp.Frotorp"	"Ua-6683"	"Frotorp"	59.0377	14.9077	5800	"Kiel DB 2013"	-0.05	"#FF3300"	4090
"Frotorp.Frotorp1"	"Ua-6245"	"Frotorp"	59.0377	14.9077	4090	""	0.05	"#3058e5"	5800
"Fuente Alamo.Fuente Alamo"	"OxA-4971"	"Fuente Alamo"	37.3166	-1.8666	3930	"Oxford Datelist"	-0.05	"#FF3300"	3710
"Fuente Alamo.Fuente Alamo1"	"OxA-5047"	"Fuente Alamo"	37.3166	-1.8666	3710	"Oxford Datelist"	0.05	"#3058e5"	3930
"Fuente Hoz.Fuente Hoz"	"I-13496"	"Fuente Hoz"	42.7688	-2.9124	8750	"Gehlen 2010"	-0.05	"#FF3300"	7970
"Fuente Hoz.Fuente Hoz1"	"I-12778"	"Fuente Hoz"	42.7688	-2.9124	7970	"Gehlen 2010"	0.05	"#3058e5"	8750
"Fuglsang.Fuglsang"	"K-2962"	"Fuglsang"	56.2361	9.932	4120	"Vankilde 1996, 372"	-0.05	"#FF3300"	4110
"Fuglsang.Fuglsang1"	"K-2963"	"Fuglsang"	56.2361	9.932	4110	"Vankilde 1996, 372"	0.05	"#3058e5"	4120
"Fussel's Lodge.Fussel's Lodge"	"OxA-13174"	"Fussel's Lodge"	51.0911	-1.7272	5820	"Wysocki, Bayliss & Whittle 2007"	-0.05	"#FF3300"	5460
"Fussel's Lodge.Fussel's Lodge1"	"OxA-13173"	"Fussel's Lodge"	51.0911	-1.7272	5460	"Wysocki, Bayliss & Whittle 2007"	0.05	"#3058e5"	5820
"Füzesabony-Gubakút.Füzesabony-Gubakút"	"Deb-5906"	"Füzesabony-Gubakút"	47.7476	20.3893	7500	"Domboróczki 2003"	-0.05	"#FF3300"	4110
"Füzesabony-Gubakút.Füzesabony-Gubakút1"	"Deb-5871"	"Füzesabony-Gubakút"	47.7476	20.3893	4110	"Domboróczki 2003"	0.05	"#3058e5"	7500
"Füzesabony-Pusztaszikszó.Füzesabony-Pusztaszikszó"	"Bln-3930"	"Füzesabony-Pusztaszikszó"	47.7555	20.3753	6250	"Raczky 2013"	-0.05	"#FF3300"	6040
"Füzesabony-Pusztaszikszó.Füzesabony-Pusztaszikszó1"	"Bln-3927"	"Füzesabony-Pusztaszikszó"	47.7555	20.3753	6040	"Raczky 2013"	0.05	"#3058e5"	6250
"Füzesabony-Szikszói-Berek.Füzesabony-Szikszói-Berek"	"Deb-5747"	"Füzesabony-Szikszói-Berek"	47.7621	20.3933	7350	"Domboróczki 2003"	-0.05	"#FF3300"	7030
"Füzesabony-Szikszói-Berek.Füzesabony-Szikszói-Berek1"	"Deb-5780"	"Füzesabony-Szikszói-Berek"	47.7621	20.3933	7030	"Domboróczki 2003"	0.05	"#3058e5"	7350
"Gabøl.Gabøl"	"K-2712"	"Gabøl"	55.25	9.15	4380	"Malmros and Tauber 1975, 91"	-0.05	"#FF3300"	4380
"Gabøl.Gabøl1"	"K-2712"	"Gabøl"	55.25	9.15	4380	"Malmros and Tauber 1975, 91"	0.05	"#3058e5"	4380
"Gadachrili Gora.Gadachrili Gora"	"OS-63260"	"Gadachrili Gora"	41.3984	44.8283	7730	"Kvavadze 2010"	-0.05	"#FF3300"	7730
"Gadachrili Gora.Gadachrili Gora1"	"OS-63260"	"Gadachrili Gora"	41.3984	44.8283	7730	"Kvavadze 2010"	0.05	"#3058e5"	7730
"Gahabah-1.Gahabah-1"	"Beta-23581"	"Gahabah-1"	14.68	43.05	7730	"Tosi 1986, Edens and Wilkinson 1998"	-0.05	"#FF3300"	7730
"Gahabah-1.Gahabah-11"	"Beta-23581"	"Gahabah-1"	14.68	43.05	7730	"Tosi 1986, Edens and Wilkinson 1998"	0.05	"#3058e5"	7730
"Gaivotas.Gaivotas"	"Wk-14797"	"Gaivotas"	37.0288	-8.9598	7700	"Cavalho 2008"	-0.05	"#FF3300"	7350
"Gaivotas.Gaivotas1"	"Wk-17029"	"Gaivotas"	37.0288	-8.9598	7350	"Cavalho 2008"	0.05	"#3058e5"	7700
"Gălăbnik.Gălăbnik"	"Bln-4096"	"Gălăbnik"	42.4166	23.083	7960	"Görsdorf 1996"	-0.05	"#FF3300"	7540
"Gălăbnik.Gălăbnik1"	"Bln-3576"	"Gălăbnik"	42.4166	23.083	7540	"Görsdorf 1996"	0.05	"#3058e5"	7960
"Galabovo.Galabovo"	"Bln-4102"	"Galabovo"	42.1166	25.8333	4100	"Görsdorf 1996"	-0.05	"#FF3300"	4100
"Galabovo.Galabovo1"	"Bln-4102"	"Galabovo"	42.1166	25.8333	4100	"Görsdorf 1996"	0.05	"#3058e5"	4100
"Galatin.Galatin"	"Bln-3316"	"Galatin"	43.4166	23.5333	5140	"Görsdorf 1996"	-0.05	"#FF3300"	4940
"Galatin.Galatin1"	"Bln-3317"	"Galatin"	43.4166	23.5333	4940	"Görsdorf 1996"	0.05	"#3058e5"	5140
"Galovo Slavonski Brod.Galovo Slavonski Brod"	"Z-3586"	"Galovo Slavonski Brod"	45.1561	18.0099	7880	"Bronic 2007"	-0.05	"#FF3300"	7070
"Galovo Slavonski Brod.Galovo Slavonski Brod1"	"Z-2935"	"Galovo Slavonski Brod"	45.1561	18.0099	7070	"Obelic 2002"	0.05	"#3058e5"	7880
"Gammelstrup"	"K-1451"	"Gammelstrup"	56.5	9.2166	4490	"Copenhagen X"	0.05	"#3058e5"	4490
"Ganj Dareh.Ganj Dareh"	"P-1485"	"Ganj Dareh"	34.42	47.57	10470	"Lawn 1970, 579"	-0.05	"#FF3300"	9040
"Ganj Dareh.Ganj Dareh1"	"SI-4734"	"Ganj Dareh"	34.42	47.57	9040	"Hole 1987, 374"	0.05	"#3058e5"	10470
"Gap A.Gap A"	"GaK-198"	"Gap A"	29.72	52.92	6200	"Kigoshi and Endo 1963, 115"	-0.05	"#FF3300"	6200
"Gap A.Gap A1"	"GaK-198"	"Gap A"	29.72	52.92	6200	"Kigoshi and Endo 1963, 115"	0.05	"#3058e5"	6200
"Gard 3.Gard 3"	"Ki-6650"	"Gard 3"	47.997	29.7406	7700	"Telegin 2003"	-0.05	"#FF3300"	7520
"Gard 3.Gard 31"	"Ki-6687"	"Gard 3"	47.997	29.7406	7520	"Telegin 2003"	0.05	"#3058e5"	7700
"gårde"	"K-4588"	"gårde"	55.5937	11.543	5330	""	0.05	"#3058e5"	5330
"Garden.Garden"	"OxA-9613"	"Garden"	56.11	-3.93	5820	"Ellis 2002"	-0.05	"#FF3300"	5140
"Garden.Garden1"	"OxA-9751"	"Garden"	56.11	-3.93	5140	"Ellis 2002"	0.05	"#3058e5"	5820
"Gare de Couze"	"BM-1613"	"Gare de Couze"	44.83	0.73	9230	""	0.05	"#3058e5"	9230
"Gargalar.Gargalar"	"Le-1084"	"Gargalar"	41.21	45.37	7020	"Narimanov 1977"	-0.05	"#FF3300"	7020
"Gargalar.Gargalar1"	"Le-1084"	"Gargalar"	41.21	45.37	7020	"Narimanov 1977"	0.05	"#3058e5"	7020
"Garvald Burn"	"OxA-10449"	"Garvald Burn"	55.7229	-3.4306	5610	"Ashmore, 2004"	0.05	"#3058e5"	5610
"Garzweiler"	"KN-3883"	"Garzweiler"	51.0667	6.5	10950	""	0.05	"#3058e5"	10950
"GAS 1 (Wadi Shab 1)"	"GX-17881"	"GAS 1 (Wadi Shab 1)"	22.83	59.24	5860	"--"	0.05	"#3058e5"	5860
"Gasse höje"	"K-1138"	"Gasse höje"	55.1609	8.8016	4310	"Malmros and Tauber 1975, 92"	0.05	"#3058e5"	4310
"Gasselte, Boerveen"	"GrN-3238"	"Gasselte, Boerveen"	53.0022	6.8533	4410	"Lanting/Mook 1977, 95."	0.05	"#3058e5"	4410
"Gatas.Gatas"	"OxA-4963"	"Gatas"	37.1166	-1.8833	4150	"Oxford Datelist"	-0.05	"#FF3300"	3490
"Gatas.Gatas1"	"OxA-3962"	"Gatas"	37.1166	-1.8833	3490	"Oxford Datelist"	0.05	"#3058e5"	4150
"Gatehampton Farm"	"OxA-3919"	"Gatehampton Farm"	51.5153	-1.1352	9110	"CBA Radiocarbon Index"	0.05	"#3058e5"	9110
"Gatersleben"	"KN-4906"	"Gatersleben"	51.8221	11.2866	4260	"Müller 1999, 82"	0.05	"#3058e5"	4260
"Gato Preto"	"Wk 3222"	"Gato Preto"	39.333	-8.9333	9020	""	0.05	"#3058e5"	9020
"Gawra.Gawra"	"P-1495"	"Gawra"	36.43	43.34	7350	"Lawn 1973, 372"	-0.05	"#FF3300"	6180
"Gawra.Gawra1"	"C-817"	"Gawra"	36.43	43.34	6180	"Libby 1955, 82-83"	0.05	"#3058e5"	7350
"Gay"	"Ly-513"	"Gay"	46.06	5.4	6260	""	0.05	"#3058e5"	6260
"Gazel.Gazel"	"Gif-2401"	"Gazel"	43.292	2.396	7680	""	-0.05	"#FF3300"	7680
"Gazel.Gazel1"	"Gif-2401"	"Gazel"	43.292	2.396	7680	""	0.05	"#3058e5"	7680
"Gedikli.Gedikli"	"P-1462"	"Gedikli"	37.1	36.72	4730	"Lawn 1970, 580"	-0.05	"#FF3300"	4130
"Gedikli.Gedikli1"	"P-1464"	"Gedikli"	37.1	36.72	4130	"Lawn 1970, 580"	0.05	"#3058e5"	4730
"Geldrop"	"GrN-6481"	"Geldrop"	51.4237	5.554	8920	"Lanting & van der Plicht 1997/1998"	0.05	"#3058e5"	8920
"Geldrop 3-1"	"GrN-6841"	"Geldrop 3-1"	51.4333	5.5666	8920	"Lanting J.N.,Van der Plicht J., I996, Palaeohistoria 37/38: 7I-125. Deeben, J. Dijkstra P & Van Gisbergen P. 2000. Notae Praehistoricae 20: 95-109."	0.05	"#3058e5"	8920
"Geldrop 3-2 East.Geldrop 3-2 East"	"GrA-15183"	"Geldrop 3-2 East"	51.4333	5.5666	9880	"Deeben, J. Dijkstra P & Van Gisbergen P. 2000. Notae Praehistoricae 20: 95-109."	-0.05	"#FF3300"	9880
"Geldrop 3-2 East.Geldrop 3-2 East1"	"GrA-15183"	"Geldrop 3-2 East"	51.4333	5.5666	9880	"Deeben, J. Dijkstra P & Van Gisbergen P. 2000. Notae Praehistoricae 20: 95-109."	0.05	"#3058e5"	9880
"Geldrop-Aalsterhut"	"GrN-16506"	"Geldrop-Aalsterhut"	51.2806	5.4242	7130	"Lanting & van der Plicht 1997/1998"	0.05	"#3058e5"	7130
"Geleen.Geleen"	"GrN-996"	"Geleen"	50.9689	5.8225	7070	"Lanting/Mook 1977, 42."	-0.05	"#FF3300"	7070
"Geleen.Geleen1"	"GrN-996"	"Geleen"	50.9689	5.8225	7070	"Lanting/Mook 1977, 42."	0.05	"#3058e5"	7070
"Gennep.Gennep"	"GrN-17632"	"Gennep"	51.6936	5.9728	8370	"Lanting & van der Plicht 1997/1998"	-0.05	"#FF3300"	8370
"Gennep.Gennep1"	"GrN-17632"	"Gennep"	51.6936	5.9728	8370	"Lanting & van der Plicht 1997/1998"	0.05	"#3058e5"	8370
"Geometric industry under BA cairn"	"HAR-656"	"Geometric industry under BA cairn"	53.1019	-3.5281	8460	"CBA Radiocarbon Index"	0.05	"#3058e5"	8460
"Geoy Tepe"	"P-199"	"Geoy Tepe"	37.5	45.33	5050	"RC 1, 1959, 45-58"	0.05	"#3058e5"	5050
"Gerbaix la Fru.Gerbaix la Fru"	"Ly-4329"	"Gerbaix la Fru"	45.45	5.7833	7670	""	-0.05	"#FF3300"	7670
"Gerbaix la Fru.Gerbaix la Fru1"	"Ly-4329"	"Gerbaix la Fru"	45.45	5.7833	7670	""	0.05	"#3058e5"	7670
"Gerlingen"	"KN-2295"	"Gerlingen"	48.7995	9.0632	7260	"Breunig 126"	0.05	"#3058e5"	7260
"Geroid Island"	"D-39"	"Geroid Island"	52.5196	-8.5304	4600	"R640410"	0.05	"#3058e5"	4600
"Gesher.Gesher"	"RT-814b"	"Gesher"	32.65	35.51	12130	"Carmi and Segal 1992, 122-123"	-0.05	"#FF3300"	3970
"Gesher.Gesher1"	"OxA-1955"	"Gesher"	32.65	35.51	3970	"Housley 1994, 66"	0.05	"#3058e5"	12130
"Ghassul.Ghassul"	"OZD-025"	"Ghassul"	31.8	35.6	6660	"Klimscha"	-0.05	"#FF3300"	4160
"Ghassul.Ghassul1"	"OZD-27"	"Ghassul"	31.8	35.6	4160	"Klimscha"	0.05	"#3058e5"	6660
"Ghoraife.Ghoraife"	"Gif-3375"	"Ghoraife"	33.51	36.53	9470	"Contenson 1975, 183"	-0.05	"#FF3300"	7790
"Ghoraife.Ghoraife1"	"Gif-3371"	"Ghoraife"	33.51	36.53	7790	"Contenson 1975, 183"	0.05	"#3058e5"	9470
"Ghwair.Ghwair"	"DRI-3253"	"Ghwair"	30.623	35.5061	10130	"Simmons and Najjar 1998, 99"	-0.05	"#FF3300"	9400
"Ghwair.Ghwair1"	"Beta-140757"	"Ghwair"	30.623	35.5061	9400	"Simmons, Najjar 2006:80"	0.05	"#3058e5"	10130
"Giants' Hills"	"BM-2346"	"Giants' Hills"	53.25	0.1667	4670	"British Museum XX, 179"	0.05	"#3058e5"	4670
"Giant's Hills 2.Giant's Hills 2"	"OxA-639"	"Giant's Hills 2"	47.9167	-0.2833	5400	"?"	-0.05	"#FF3300"	5400
"Giant's Hills 2.Giant's Hills 21"	"OxA-639"	"Giant's Hills 2"	47.9167	-0.2833	5400	"?"	0.05	"#3058e5"	5400
"Gieten"	"GrN-8075"	"Gieten"	53.0057	6.7636	5530	"Lanting/Mook 1977, 77."	0.05	"#3058e5"	5530
"Giladi"	"MATJ-1"	"Giladi"	33.2	35.56	10030	"Kaplan 1966, 272-273"	0.05	"#3058e5"	10030
"Gilat.Gilat"	"Beta- 131730"	"Gilat"	31.3285	34.6499	6530	"Burton & Levy 2001"	-0.05	"#FF3300"	5170
"Gilat.Gilat1"	"RT-2058"	"Gilat"	31.3285	34.6499	5170	"Burton & Levy 2001"	0.05	"#3058e5"	6530
"Gilgal.Gilgal"	"RT-777B"	"Gilgal"	32	35.43	11440	"--"	-0.05	"#FF3300"	11040
"Gilgal.Gilgal1"	"Pta-4585"	"Gilgal"	32	35.43	11040	"--"	0.05	"#3058e5"	11440
"Gird Ali Agha"	"P-1499"	"Gird Ali Agha"	36.45	43.3	7770	"RC 15, 2, 1973, 367-381"	0.05	"#3058e5"	7770
"Girikihaciyan.Girikihaciyan"	"GrN-6245"	"Girikihaciyan"	38.23	39.96	7640	"Çambel and Braidwood (eds.) 1980a, 54"	-0.05	"#FF3300"	7370
"Girikihaciyan.Girikihaciyan1"	"GrN-5882"	"Girikihaciyan"	38.23	39.96	7370	"Çambel and Braidwood (eds.) 1980a, 54"	0.05	"#3058e5"	7640
"Girm, Göllnergasse/Hotterweg.Girm, Göllnergasse/Hotterweg"	"VERA-869"	"Girm, Göllnergasse/Hotterweg"	47.6001	16.6098	5180	"Stadler, P. et. al. (2000). Status of Austrian Science Fund Project P12253: Absolute Chronology for Early Civilization in Austria and Central Europe Using 14C Dating with Accelerator Mass Spectometry Wien."	-0.05	"#FF3300"	5180
"Girm, Göllnergasse/Hotterweg.Girm, Göllnergasse/Hotterweg1"	"VERA-869"	"Girm, Göllnergasse/Hotterweg"	47.6001	16.6098	5180	"Stadler, P. et. al. (2000). Status of Austrian Science Fund Project P12253: Absolute Chronology for Early Civilization in Austria and Central Europe Using 14C Dating with Accelerator Mass Spectometry Wien."	0.05	"#3058e5"	5180
"Girzevo"	"Le-1703"	"Girzevo"	47.7226	30.4122	7880	"Wechler 2001"	0.05	"#3058e5"	7880
"Gislinge lammefjord"	"K-5383"	"Gislinge lammefjord"	55.1609	8.8016	7460	""	0.05	"#3058e5"	7460
"Giulvaz"	"GrN-28456"	"Giulvaz"	47.7226	30.4122	7580	"Paolo Biagi, Stephan Shennan, Michela Spataro, 2005. Rapid Rivers and Slow Seas ? New Data for the Radiocarbon Chronology of the Balkan Peninsula. In: Prehistoric Archaeology & Anthropological Theory and Education (eds. Lolita Nikolova & Jude Higgins). RPRP 6-7, 43-51."	0.05	"#3058e5"	7580
"Giulvăz"	"GrN-28456"	"Giulvăz"	45.55	20.95	7580	"Biagi 2005"	0.05	"#3058e5"	7580
"Givat ha-Parsa"	"nd"	"Givat ha-Parsa"	31.81	34.63	5650	"Gopher and Gophna 1993, 306"	0.05	"#3058e5"	5650
"Givat Haparsa"	"KN-3537"	"Givat Haparsa"	31.81	34.64	6820	"Gopher and Gophna 1993"	0.05	"#3058e5"	6820
"Giza         .Giza         "	"ETH-13852"	"Giza         "	30.0166	31.2166	5150	""	-0.05	"#FF3300"	4020
"Giza         .Giza         1"	"SMU-1419 "	"Giza         "	30.0166	31.2166	4020	""	0.05	"#3058e5"	5150
"Gjævhul Bakke.Gjævhul Bakke"	"K-1203"	"Gjævhul Bakke"	56.8263	8.2517	3710	"Liversage 1989, 225"	-0.05	"#FF3300"	3710
"Gjævhul Bakke.Gjævhul Bakke1"	"K-1203"	"Gjævhul Bakke"	56.8263	8.2517	3710	"Liversage 1989, 225"	0.05	"#3058e5"	3710
"Gladsax 8"	"Lu-1776"	"Gladsax 8"	55.5667	14.3167	5730	"Kiel DB 2013"	0.05	"#3058e5"	5730
"GlÃ¤ntan.GlÃ¤ntan"	"St-13721"	"GlÃ¤ntan"	59.1971	17.4264	4340	"Kiel DB 2013"	-0.05	"#FF3300"	4110
"GlÃ¤ntan.GlÃ¤ntan1"	"Beta-92583"	"GlÃ¤ntan"	59.1971	17.4264	4110	"Kiel DB 2013"	0.05	"#3058e5"	4340
"Glasow"	"Bln-3879"	"Glasow"	53.3833	14.2667	4620	"Terberger and Piek 1997, 10"	0.05	"#3058e5"	4620
"Glasrutan 2"	"Beta-34671"	"Glasrutan 2"	58.4295	15.5894	4310	"Kiel DB 2013"	0.05	"#3058e5"	4310
"Glaubendorf.Glaubendorf"	"VERA-1953"	"Glaubendorf"	48.5087	15.9426	6690	"Stadler 2005/2006"	-0.05	"#FF3300"	6550
"Glaubendorf.Glaubendorf1"	"VERA-1950"	"Glaubendorf"	48.5087	15.9426	6550	"Stadler 2005/2006"	0.05	"#3058e5"	6690
"Glenbatrick.Glenbatrick"	"GX-2563"	"Glenbatrick"	55.947	-5.9758	4790	"CBA Radiocarbon Index"	-0.05	"#FF3300"	4790
"Glenbatrick.Glenbatrick1"	"GX-2563"	"Glenbatrick"	55.947	-5.9758	4790	"CBA Radiocarbon Index"	0.05	"#3058e5"	4790
"Glenulra"	"SI-1464"	"Glenulra"	54.3052	-9.458	5100	"G051406"	0.05	"#3058e5"	5100
"Glenvoidean"	"I-5974"	"Glenvoidean"	55.8859	-5.2031	5590	"Ashmore, 2004"	0.05	"#3058e5"	5590
"Glimmer   "	"GrN-11997"	"Glimmer   "	52.6628	4.7352	9060	"Lanting/vanderPlicht 1997/1998"	0.05	"#3058e5"	9060
"Glimmer Es"	"GrN-6156"	"Glimmer Es"	52.6628	4.7352	4950	"Lanting/Mook 1977, 78; Brindley 1986, 105."	0.05	"#3058e5"	4950
"G. Mishraq J 504"	"SMU-905"	"G. Mishraq J 504"	30.03	35.36	13840	"--"	0.05	"#3058e5"	13840
"Gnewitz"	"Bln-472"	"Gnewitz"	54.0833	12.5167	4790	"Schuldt 1972, 95"	0.05	"#3058e5"	4790
"Göbekli Tepe.Göbekli Tepe"	"Hd-20036"	"Göbekli Tepe"	37.22	38.92	10910	"Kromer and Schmidt 1998, 8"	-0.05	"#FF3300"	6580
"Göbekli Tepe.Göbekli Tepe1"	"KIA-42209"	"Göbekli Tepe"	37.22	38.92	6580	"Marion 2013"	0.05	"#3058e5"	10910
"Goddelau.Goddelau"	"Hd-14176"	"Goddelau"	49.836	8.4996	7320	"Stäuble 1994"	-0.05	"#FF3300"	1660
"Goddelau.Goddelau1"	"KN-3430"	"Goddelau"	49.836	8.4996	1660	"Stäuble 1994"	0.05	"#3058e5"	7320
"Godin.Godin"	"GaK-1071"	"Godin"	34.45	48.03	4270	"American Journal of Archaeology 1969, 287-91"	-0.05	"#FF3300"	4270
"Godin.Godin1"	"GaK-1071"	"Godin"	34.45	48.03	4270	"American Journal of Archaeology 1969, 287-91"	0.05	"#3058e5"	4270
"Gökhem.Gökhem"	"St-11658"	"Gökhem"	58.1833	13.4	4750	"Kiel DB 2013"	-0.05	"#FF3300"	2100
