""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Lagozza di Besnate.Lagozza di Besnate"	"R-337"	"Lagozza di Besnate"	45.703	8.7722	5530	"Rome Datelist VI"	-0.05	"#FF3300"	5260
"Lagozza di Besnate.Lagozza di Besnate1"	"R-78a"	"Lagozza di Besnate"	45.703	8.7722	5260	"Rome Datelist VI"	0.05	"#3058e5"	5530
"Lagozzetta"	"R-336"	"Lagozzetta"	45.7031	8.7721	4970	"Rome Datelist VI"	0.05	"#3058e5"	4970
"La Grande Paroisse"	"Gif-5005"	"La Grande Paroisse"	48.36	2.88	6440	"Breunig 1987, 193"	0.05	"#3058e5"	6440
"La Grande Rivoire.La Grande Rivoire"	"Ly-5433"	"La Grande Rivoire"	45.2	5.65	9270	"van Willigen 2006"	-0.05	"#FF3300"	5770
"La Grande Rivoire.La Grande Rivoire1"	"Ly-137"	"La Grande Rivoire"	45.2	5.65	5770	"van Willigen 2006"	0.05	"#3058e5"	9270
"Lagrimal"	"AA-59519"	"Lagrimal"	38.5237	-0.9701	8330	"Lopez Pablo 2009"	0.05	"#3058e5"	8330
"LÃ¸gstrup"	"K-2185"	"LÃ¸gstrup"	56.5103	9.3354	4630	"Kiel DB 3729"	0.05	"#3058e5"	4630
"Laholm 197"	"Beta-71658"	"Laholm 197"	56.506	13.045	5990	"Kiel DB 2013"	0.05	"#3058e5"	5990
"Laholms lfs 141"	"Beta-70635"	"Laholms lfs 141"	56.5133	13.0435	5450	"Kiel DB 2013"	0.05	"#3058e5"	5450
"Lairg.Lairg"	"GU-3168"	"Lairg"	57.9938	-4.4025	7340	"Ashmore, 2004"	-0.05	"#FF3300"	5480
"Lairg.Lairg1"	"AA-17461"	"Lairg"	57.9884	-4.4021	5480	"Ashmore, 2004"	0.05	"#3058e5"	7340
"Lake Vouliagmeni"	"P-2474"	"Lake Vouliagmeni"	38.03	22.88	4600	"Fishman 1978"	0.05	"#3058e5"	4600
"La Lámpara.La Lámpara"	"UtC-13346"	"La Lámpara"	41.17	-2.5	7200	"Carvalho 2008"	-0.05	"#FF3300"	6900
"La Lámpara.La Lámpara1"	"KIA-6789"	"La Lámpara"	41.17	-2.5	6900	"van Willigen 2006"	0.05	"#3058e5"	7200
"La Madeleine"	"GifA-95457"	"La Madeleine"	44.98	1.04	11850	"Bosset 2010"	0.05	"#3058e5"	11850
"La Marmotta.La Marmotta"	"R-2339"	"La Marmotta"	42.11	12.2	7500	"--"	-0.05	"#FF3300"	7230
"La Marmotta.La Marmotta1"	"R-2310"	"La Marmotta"	42.11	12.2	7230	"van Willigen 2006"	0.05	"#3058e5"	7500
"Lambourn.Lambourn"	"OxA-7694"	"Lambourn"	51.5481	-1.5341	5650	"SU323834"	-0.05	"#FF3300"	5040
"Lambourn.Lambourn1"	"OxA-7899"	"Lambourn"	51.5481	-1.5341	5040	"SU323834"	0.05	"#3058e5"	5650
"Lameira de Cima"	"OxA-4084"	"Lameira de Cima"	40.9333	-8.6	5750	"Oxford Datelist"	0.05	"#3058e5"	5750
"Lamersdorf.Lamersdorf"	"KN-1524"	"Lamersdorf"	50.8493	6.3525	7080	"Breunig 1987, 174"	-0.05	"#FF3300"	6500
"Lamersdorf.Lamersdorf1"	"KN-1345"	"Lamersdorf"	50.8493	6.3525	6500	"Kiel DB 2704"	0.05	"#3058e5"	7080
"La Mouligna.La Mouligna"	"Ly-883"	"La Mouligna"	43.4166	-1.8166	6340	"Lyon Datelist VI"	-0.05	"#FF3300"	6340
"La Mouligna.La Mouligna1"	"Ly-883"	"La Mouligna"	43.4166	-1.8166	6340	"Lyon Datelist VI"	0.05	"#3058e5"	6340
"Lanaken"	"Lv-2161"	"Lanaken"	51.4082	4.9943	7300	"Gilot, 1997"	0.05	"#3058e5"	7300
"Lancken-Granitz.Lancken-Granitz"	"Bln-992"	"Lancken-Granitz"	54.3667	13.6333	4300	"Schuldt 1972, 96"	-0.05	"#FF3300"	4300
"Lancken-Granitz.Lancken-Granitz1"	"Bln-992"	"Lancken-Granitz"	54.3667	13.6333	4300	"Schuldt 1972, 96"	0.05	"#3058e5"	4300
"Långåker.Långåker"	"Lu-2397"	"Långåker"	55.4018	13.4936	4670	"Kiel DB 2013"	-0.05	"#FF3300"	4670
"Långåker.Långåker1"	"Lu-2397"	"Långåker"	55.4018	13.4936	4670	"Kiel DB 2013"	0.05	"#3058e5"	4670
"Langar"	"WSU-671"	"Langar"	30.93	57.58	6900	"Voigt and Dyson 1992"	0.05	"#3058e5"	6900
"Langdale"	"BM-676"	"Langdale"	54.4629	-3.1202	5130	"British Museum VIII, 25"	0.05	"#3058e5"	5130
"LangeneichstÃ¤dt"	"UZ-4090"	"LangeneichstÃ¤dt"	51.357	11.7347	4990	"Schuldt 1972, 96"	0.05	"#3058e5"	4990
"Langenhettenbach"	"GrN-7514"	"Langenhettenbach"	48.7167	4.5992	6350	"Lanting and Mook 1977, 47"	0.05	"#3058e5"	6350
"Langenweiler 10"	"KN-1595"	"Langenweiler 10"	50.8167	6.4333	6200	"Kiel DB 2717"	0.05	"#3058e5"	6200
"Langenzersdorf.Langenzersdorf"	"H-612/618"	"Langenzersdorf"	48.3044	16.359	6810	""	-0.05	"#FF3300"	6500
"Langenzersdorf.Langenzersdorf1"	"H-1328/1008"	"Langenzersdorf"	48.3044	16.359	6500	""	0.05	"#3058e5"	6810
"Langweiler 2.Langweiler 2"	"KN-2304"	"Langweiler 2"	50.8167	6.4333	7580	"Breunig 1987, 127"	-0.05	"#FF3300"	6850
"Langweiler 2.Langweiler 21"	"KN-2298"	"Langweiler 2"	50.8167	6.4333	6850	"Breunig 1987, 127"	0.05	"#3058e5"	7580
"Langweiler 6"	"KN-1665"	"Langweiler 6"	50.8167	6.4333	7080	"Breunig 1987, 127"	0.05	"#3058e5"	7080
"Langweiler 9.Langweiler 9"	"KN-2695"	"Langweiler 9"	50.8167	6.4333	7910	"Breunig 1987,  128"	-0.05	"#FF3300"	2640
"Langweiler 9.Langweiler 91"	"KN-2692"	"Langweiler 9"	50.8167	6.4333	2640	"Breunig 1987,  128"	0.05	"#3058e5"	7910
"La Paleta"	"Beta-223092"	"La Paleta"	39.9369	-4.731	7500	"Lopez Pablo 2009"	0.05	"#3058e5"	7500
"La Passagère"	"Ly-1189"	"La Passagère"	45.1333	5.5333	9870	""	0.05	"#3058e5"	9870
"La Pietra.La Pietra"	"Ly-6087"	"La Pietra"	42.64	8.91	6790	"Linstädter 2004"	-0.05	"#FF3300"	6790
"La Pietra.La Pietra1"	"Ly-6087"	"La Pietra"	42.64	8.91	6790	"Linstädter 2004"	0.05	"#3058e5"	6790
"La Poujarde.La Poujarde"	"Mc-1240"	"La Poujarde"	44.11	3.06	9960	"van Willigen 2006"	-0.05	"#FF3300"	7400
"La Poujarde.La Poujarde1"	"Mc-2251"	"La Poujarde"	44.11	3.06	7400	"van Willigen 2006"	0.05	"#3058e5"	9960
"La Resclauze"	"Mc-1227"	"La Resclauze"	43.51	3.26	7360	"van Willigen 2006"	0.05	"#3058e5"	7360
